"","date","tests.roll","reported.roll","est.active","est.active.low","est.active.high","cases.raw","test.raw","positivity.roll","positivity.raw","active"
"1",2021-12-15,NA,NA,NA,NA,NA,13,493,NA,0.026369168356998,NA
"2",2021-12-16,NA,NA,NA,NA,NA,0,601,NA,0,NA
"3",2021-12-17,NA,NA,NA,NA,NA,46,955,NA,0.0481675392670157,NA
"4",2021-12-18,NA,NA,NA,NA,NA,23,1282,NA,0.0179407176287051,NA
"5",2021-12-19,NA,NA,NA,NA,NA,9,1740.66666666667,NA,0.0051704327843738,NA
"6",2021-12-20,NA,NA,NA,NA,NA,9,1740.66666666667,NA,0.0051704327843738,NA
"7",2021-12-21,NA,NA,NA,NA,NA,9,1740.66666666667,NA,0.0051704327843738,NA
"8",2021-12-22,NA,NA,NA,NA,NA,60,2075,NA,0.0289156626506024,64.6428571428571
"9",2021-12-23,NA,NA,NA,NA,NA,100,2461,NA,0.0406338886631451,150.642857142857
"10",2021-12-24,NA,NA,NA,NA,NA,85,2911,NA,0.0291995877705256,261.571428571429
"11",2021-12-25,NA,NA,NA,NA,NA,0,3601,NA,0,400
"12",2021-12-26,NA,NA,NA,NA,NA,0,3367,NA,0,568.357142857143
"13",2021-12-27,NA,NA,NA,NA,NA,357,2517,NA,0.141835518474374,769.357142857143
"14",2021-12-28,2057.92857142857,64.6428571428571,2446.77219575465,3622.00015291762,1306.15749770884,194,3326,0.0290644073909691,0.05832832230908,1006.78571428571
"15",2021-12-29,2205.28571428571,86,2866.29033636758,4202.60592377449,1567.94112018122,312,2556,0.0358998759154357,0.122065727699531,1214.14285714286
"16",2021-12-30,2411.42857142857,110.928571428571,3224.55072148577,4669.35048596594,1815.49772161775,349,3487,0.0430488783325769,0.100086033839977,1430.07142857143
"17",2021-12-31,2616.92857142857,138.428571428571,3609.57042831557,5165.38542824001,2088.54965269273,431,3832,0.0476421900968327,0.112473903966597,1649.85714285714
"18",2022-01-01,2844.57142857143,168.357142857143,4023.51237113321,5691.11707540494,2390.29410940735,442,4469,0.0534252501121337,0.0989035578429179,1870.35714285714
"19",2022-01-02,3053.66666666667,201,4488.04051157541,6277.75573609826,2733.19417803447,466,4668,0.0601865492271193,0.0998286203941731,2090.35714285714
"20",2022-01-03,3243.2619047619,237.428571428571,4959.68106706449,6857.79967570574,3096.81376144459,519,4395,0.0682521423997616,0.118088737201365,2303.92857142857
"21",2022-01-04,3384.28571428571,272,5677.04735091436,7814.96561473439,3576.79244959616,493,3715,0.0773617721287762,0.132705248990579,2536.64285714286
"22",2022-01-05,3565.35714285714,301.928571428571,6148.44621292405,8377.95044659495,3945.98221869133,479,4610,0.0827181216047713,0.103904555314534,2774.5
"23",2022-01-06,3687.14285714286,330.714285714286,6651.96931306979,9017.44825917845,4315.94085365245,503,4166,0.0884399380067557,0.120739318290927,3012.28571428571
"24",2022-01-07,3787.35714285714,358.928571428571,7109.8254638693,9591.20791070759,4660.79957496142,480,4314,0.0943017993611161,0.111265646731572,3245.35714285714
"25",2022-01-08,3850.42857142857,388.357142857143,7383.59681350852,9896.75736842483,4905.73389381234,412,4484,0.100864817074892,0.0918822479928635,3453.35714285714
"26",2022-01-09,3931.64285714286,414.571428571429,7564.72464969017,10076.1354382001,5094.06559470747,367,4504,0.106685040368472,0.0814831261101243,3622.78571428571
"27",2022-01-10,4000.71428571429,470.142857142857,7600.20977903558,10026.545959106,5216.88869903145,1135,3484,0.119823572712971,0.325774971297359,3741.35714285714
"28",2022-01-11,4287.35714285714,509.857142857143,7598.82311610467,9918.46196608966,5323.49759182895,750,7339,0.122956818217163,0.102193759367761,3775.92857142857
"29",2022-01-12,4332.71428571429,539.714285714286,7774.42885604267,10083.1425553743,5517.46808544282,730,3191,0.13057843846408,0.228768411156377,3756.64285714286
"30",2022-01-13,4337.57142857143,563.785714285714,8295.99201980843,10815.5479973842,5861.94055253252,686,3555,0.137212839703761,0.192967651195499,3709.78571428571
"31",2022-01-14,4301.42857142857,566.928571428571,8465.41647537284,10983.0929312536,6040.23224460474,475,3326,0.139380003079053,0.142814191220686,3628.64285714286
"32",2022-01-15,4185.92857142857,557.785714285714,8663.19603329895,11233.3991774343,6203.06081086313,314,2852,0.140179618712994,0.110098176718093,3533.21428571429
"33",2022-01-16,4059.35714285714,533.142857142857,8811.06926539166,11430.2804627757,6317.97299480005,121,2896,0.136033414967396,0.0417817679558011,3437.71428571429
"34",2022-01-17,3952.28571428571,504.714285714286,8695.30575587522,11252.7503312057,6267.5032119301,121,2896,0.130582917164141,0.0417817679558011,3347.69047619048
"35",2022-01-18,3835.14285714286,490.571428571429,7946.39388129158,10149.207567091,5865.37770692872,295,2075,0.131258876143299,0.142168674698795,3212.07142857143
"36",2022-01-19,3612.21428571429,492.857142857143,7553.52671851437,9624.13338285026,5618.01661535095,511,1489,0.14835021822987,0.343183344526528,3044.07142857143
"37",2022-01-20,3502,482.642857142857,7197.98731894707,9144.72539128263,5388.1649908663,360,2623,0.149529368824144,0.137247426610751,2843.35714285714
"38",2022-01-21,3311.92857142857,471.5,6960.37762388233,8864.35627125806,5204.77037348938,324,1653,0.155582341166755,0.196007259528131,2630.85714285714
"39",2022-01-22,3109.71428571429,462.285714285714,6737.33133999057,8587.61923629411,5038.35208824742,283,1653,0.161248171435003,0.171203871748336,2414.5
"40",2022-01-23,2940.38095238095,443.119047619048,6577.51534545073,8396.34004134491,4910.60441347398,98.6666666666667,2133.33333333333,0.158731519569994,0.04625,2199.78571428571
"41",2022-01-24,2843.90476190476,369.095238095238,6445.52599757308,8274.90265946706,4772.47126757582,98.6666666666667,2133.33333333333,0.138765450191611,0.04625,2002.13095238095
"42",2022-01-25,2472.07142857143,322.571428571429,6280.80206128919,8120.53061534357,4601.80526686492,98.6666666666667,2133.33333333333,0.134769467379628,0.04625,1876.39285714286
"43",2022-01-26,2392.57142857143,292.142857142857,6027.6910427216,7853.5753909975,4367.96017302689,304,2078,0.128878474722439,0.146294513955727,1788.89285714286
"44",2022-01-27,2274.07142857143,270.142857142857,5599.93700049404,7313.21196781981,4047.0679686218,378,1896,0.129335577394732,0.199367088607595,1713.03571428571
"45",2022-01-28,2200.85714285714,255.142857142857,5294.04815241089,6974.94436356172,3778.57977095915,265,2301,0.127360800775908,0.115167318557149,1647.60714285714
"46",2022-01-29,2161.5,247.571428571429,5051.11096258875,6726.10647643308,3545.37210894864,208,2301,0.125953465312186,0.0903954802259887,1592.46428571429
"47",2022-01-30,2056.89285714286,245.464285714286,4797.62083930794,6441.55300298678,3320.52914123922,91.5,1431.5,0.127534693752447,0.0639189661194551,1540.53571428571
"48",2022-01-31,1952.28571428571,243.357142857143,4705.53795229619,6375.39012886697,3207.71113553768,91.5,1431.5,0.129115922192708,0.0639189661194551,1491.52380952381
"49",2022-02-01,1888.42857142857,235.071428571429,4852.00442150349,6706.99803833941,3207.96980028663,179,1181,0.129787193220936,0.151566469093988,1449.42857142857
"50",2022-02-02,1853.78571428571,216.285714285714,4963.28073113446,6950.28223349415,3210.08935977835,248,1004,0.122917808054129,0.247011952191235,1423.57142857143
"51",2022-02-03,1772.14285714286,204.714285714286,4961.78035858942,7023.35325117201,3157.76358906511,198,1480,0.12267040499506,0.133783783783784,1412.64285714286
"52",2022-02-04,1743.42857142857,200,4801.72062180997,6812.46811095206,3048.24675301708,258,1251,0.123400958742366,0.206235011990408,1403.64285714286
"53",2022-02-05,1737.14285714286,195.642857142857,4822.22759614932,6898.43953867932,3020.12097875069,222,1565,0.121304470413468,0.14185303514377,1399.5
"54",2022-02-06,1679.90476190476,196.452380952381,4837.61332550336,6960.64148818825,2997.42168870769,110,1332,0.123899654883653,0.0825825825825826,1402.28571428571
"55",2022-02-07,1565.09523809524,201.261904761905,4795.86804009561,6920.76012085759,2954.74959775622,166,526,0.143138180141665,0.315589353612167,1403.94047619048
"56",2022-02-08,1480.71428571429,209.214285714286,4770.34915597087,6897.09772948834,2928.31091989875,210,952,0.155590911234102,0.220588235294118,1400.46428571429
"57",2022-02-09,1393.71428571429,205.357142857143,4815.98533153731,6983.09060225841,2940.84541194862,250,860,0.165905422695736,0.290697674418605,1391.46428571429
"58",2022-02-10,1361.42857142857,195.714285714286,4720.85928119839,6832.45509503039,2893.4700903898,243,1444,0.163685098400654,0.168282548476454,1381.39285714286
"59",2022-02-11,1281.07142857143,195.857142857143,4985.31137060876,7304.3328177728,2993.83533085692,267,1176,0.171676062527039,0.227040816326531,1389.39285714286
"60",2022-02-12,1228.42857142857,198.428571428571,4932.35447906949,7208.03477196929,2975.04093727535,244,1564,0.176362830380827,0.156010230179028,1395.53571428571
"61",2022-02-13,1216,198.107142857143,5042.44407769445,7389.05249121905,3024.55569990746,87,1257.5,0.176738967847728,0.0691848906560636,1405.10714285714
"62",2022-02-14,1203.57142857143,197.785714285714,5055.22451569322,7413.93122808184,3027.61049772161,87,1257.5,0.177115105314628,0.0691848906560636,1415.60714285714
"63",2022-02-15,1192.71428571429,200.214285714286,4884.03041004197,7109.15481587444,2959.193762177,213,1029,0.181074434989922,0.206997084548105,1423.03571428571
"64",2022-02-16,1191.71428571429,195.285714285714,4878.44841159004,7095.3243164174,2956.09974558664,179,990,0.176345587033983,0.180808080808081,1430.60714285714
"65",2022-02-17,1136.42857142857,203.714285714286,4866.40354586671,7065.57459105607,2957.31445850756,316,706,0.198760464477189,0.447592067988669,1442.96428571429
"66",2022-02-18,1166.57142857143,202,4907.88770444977,7124.51808513411,2981.593185559,234,1673,0.194019999313669,0.139868499701136,1450.03571428571
"67",2022-02-19,1150.42857142857,208,5041.19761868246,7328.8444571178,3050.22825760771,306,1339,0.200211122003443,0.228528752800597,1467.75
"68",2022-02-20,1139.75,208.607142857143,5086.11877330199,7387.79135523276,3079.75110964004,118.5,1182.5,0.201470324425436,0.100211416490486,1483.17857142857
"69",2022-02-21,1186.64285714286,205.214285714286,5175.07395806777,7525.54050156506,3125.1975102283,118.5,1182.5,0.186086186059602,0.100211416490486,1503.46428571429
"70",2022-02-22,1211.14285714286,207.785714285714,5264.15169058721,7663.39947264513,3170.77856701568,246,1295,0.183898554250121,0.18996138996139,1532.60714285714
"71",2022-02-23,1217.64285714286,207.642857142857,5459.26788727043,7974.02619723939,3265.58363881641,248,951,0.181761443812079,0.260778128286015,1570.10714285714
"72",2022-02-24,1228.78571428571,210.785714285714,5683.80796758541,8326.80398072242,3374.94396570627,287,1600,0.182553761778046,0.179375,1622.75
"73",2022-02-25,1239.42857142857,219.714285714286,5753.21041834028,8384.61824042854,3436.27286830403,392,1325,0.187468636083564,0.295849056603774,1685.17857142857
"74",2022-02-26,1261.42857142857,223.428571428571,6038.32328361095,8843.12392383634,3571.97930129863,296,1872,0.187619309507895,0.158119658119658,1754.10714285714
"75",2022-02-27,1268.42857142857,228.892857142857,6195.80113743387,9072.07298896159,3661.18641524899,163.5,1355.5,0.191293224284503,0.120619697528587,1830.96428571429
"76",2022-02-28,1275.42857142857,234.357142857143,6327.99222092559,9264.09192106271,3739.26211882645,163.5,1355.5,0.194967139061112,0.120619697528587,1909.71428571429
"77",2022-03-01,1278.71428571429,245.285714285714,6468.50721728732,9464.41441978556,3825.68135476142,366,1075,0.204500569899038,0.34046511627907,1990.35714285714
"78",2022-03-02,1296.92857142857,260.285714285714,6869.57978108363,10086.2997533172,4035.19078961716,389,1245,0.213903549783946,0.312449799196787,2080.71428571429
"79",2022-03-03,1345.78571428571,273.214285714286,7252.29486969673,10646.3560935078,4253.71816773589,497,1390,0.207472256130079,0.357553956834532,2180.92857142857
"80",2022-03-04,1319.5,288.642857142857,7655.14340845379,11225.1791663697,4489.61611360128,450,1305,0.22211219088049,0.344827586206897,2296.28571428571
"81",2022-03-05,1341.28571428571,300.285714285714,7833.03646519263,11435.1679822652,4626.98878400527,469,1644,0.226165837491362,0.285279805352798,2409.78571428571
"82",2022-03-06,1355.5,307.642857142857,8333.63875605966,12176.1522395413,4908.31724224841,221.5,1381.5,0.230460234271177,0.16033297140789,2543
"83",2022-03-07,1369.71428571429,315,8718.14961377843,12720.0984706446,5141.42680832011,221.5,1381.5,0.234754631050991,0.16033297140789,2694.82142857143
"84",2022-03-08,1363,335.642857142857,9126.18506067551,13324.1464944348,5377.21424617117,535,1201,0.253004682832624,0.445462114904246,2859.25
"85",2022-03-09,1395.57142857143,360.5,9323.62715734364,13572.4347296792,5526.29914371949,596,1407,0.264634552540288,0.423596304193319,3011.39285714286
"86",2022-03-10,1430.64285714286,388.571428571429,9572.01921868444,13887.2999858795,5710.01608062499,680,2091,0.275050856256897,0.32520325203252,3150.89285714286
"87",2022-03-11,1483,402.142857142857,9733.48557071479,14058.3551842983,5855.06708313158,582,2058,0.274118697486573,0.282798833819242,3270.32142857143
"88",2022-03-12,1482.71428571429,433.5,10023.5824252965,14423.903491538,6070.36232814722,735,1868,0.290929361245845,0.393468950749465,3391.39285714286
"89",2022-03-13,1534.17857142857,459.464285714286,10119.5695677961,14477.2937733276,6200.56651491747,527,2076,0.300446066032889,0.253853564547206,3479.67857142857
"90",2022-03-14,1531,479.428571428571,10210.4796936083,14521.4585788162,6332.02121946755,443,1311,0.315966801378864,0.337909992372235,3537.75
"91",2022-03-15,1544.35714285714,487.785714285714,10289.0764299752,14553.2937654184,6451.17857262642,483,1262,0.318985423931265,0.382725832012678,3571.60714285714
"92",2022-03-16,1565.85714285714,500,10059.9365560213,14081.5609643406,6429.36268467279,560,1546,0.322540802347536,0.36222509702458,3577.96428571429
"93",2022-03-17,1595.28571428571,508,10224.9883540951,14335.5355270481,6540.26810705684,609,1802,0.321141078619304,0.33795782463929,3559.46428571429
"94",2022-03-18,1621.5,523.214285714286,9780.54040616164,13580.5046205367,6384.11315520653,663,1672,0.324834186781559,0.396531100478469,3487.93571428571
"95",2022-03-19,1645.85714285714,521.785714285714,9388.53303190284,12924.1865134687,6237.26874721229,449,1985,0.320613948795762,0.226196473551637,3363.16428571429
"96",2022-03-20,1655.67857142857,517.535714285714,8797.27153712105,11965.8905608481,5982.13577734807,162,1519,0.316779387356442,0.106649111257406,3190.86428571429
"97",2022-03-21,1665.5,513.285714285714,8400.41737554613,11332.7694909011,5804.91896630306,162,1519,0.312944825917121,0.106649111257406,2988.71428571429
"98",2022-03-22,1702.07142857143,494.142857142857,7966.05096588654,10627.8404402641,5608.812552519,267,1713,0.29225945343647,0.155866900175131,2762.71428571429
"99",2022-03-23,1650.57142857143,481.5,7891.17492322294,10543.8613501805,5552.52958087355,419,686,0.305630229709209,0.610787172011662,2546.35714285714
"100",2022-03-24,1591,436.471428571429,7995.1177547824,10802.3552094692,5540.08336967589,49.6,1257,0.285219928095112,0.0394590294351631,2343.35714285714
"101",2022-03-25,1533.78571428571,398.442857142857,7582.54936171673,10230.6480115071,5275.14227406703,49.6,1257,0.267838513496249,0.0394590294351631,2163.24285714286
"102",2022-03-26,1490.14285714286,349.485714285714,7233.37811533437,9812.47835789311,5003.84817242892,49.6,1257,0.242552090545228,0.0394590294351631,2001.58571428571
"103",2022-03-27,1431.64285714286,315.385714285714,6655.87082368801,9027.27136563843,4619.31786943599,49.6,1257,0.227238195180082,0.0394590294351631,1860.48095238095
"104",2022-03-28,1427.78571428571,287.285714285714,6317.90655871563,8624.71345921161,4340.11223407679,49.6,1257,0.205920269256005,0.0394590294351631,1745.57142857143
"105",2022-03-29,1397.78571428571,277.785714285714,5989.32435482482,8231.368382684,4070.44646547343,350,842,0.208273921227953,0.415676959619952,1650.85714285714
"106",2022-03-30,1353.5,278.5,6021.29065971446,8471.92576715567,3947.53201366701,570,926,0.22636861115045,0.615550755939525,1568.28571428571
"107",2022-03-31,1334.35714285714,256.357142857143,5694.57416881757,8036.31440358734,3708.25669169568,299,1534,0.216151284693164,0.194915254237288,1479.28571428571
"108",2022-04-01,1284.92857142857,236.785714285714,5819.55344455654,8344.44509765835,3674.97276694784,389,980,0.216180404338288,0.396938775510204,1429.1
"109",2022-04-02,1225.14285714286,208.380952380952,6146.63215851288,8985.18124164584,3737.33901829469,51.3333333333333,1148,0.203217473881347,0.0447154471544715,1423.01428571429
"110",2022-04-03,1198.64285714286,200.476190476191,6244.89360596802,9212.11773047551,3721.13724537023,51.3333333333333,1148,0.198793640731138,0.0447154471544715,1459.14761904762
"111",2022-04-04,1172.14285714286,192.571428571429,6209.43836159593,9221.89945569898,3649.79818555231,51.3333333333333,1148,0.194369807580928,0.0447154471544715,1505.25
"112",2022-04-05,1091.07142857143,195.214285714286,6186.01197500345,9243.63470551265,3590.55748748692,304,578,0.220804425932235,0.525951557093426,1561.32142857143
"113",2022-04-06,1095.92857142857,189.5,6001.26174938108,9023.76324547903,3447.57656021064,339,754,0.209291208075396,0.449602122015915,1604.39285714286
"114",2022-04-07,1085.71428571429,206.171428571429,5561.88624350911,8338.86248268355,3221.81048030409,283,1114,0.224618384351956,0.254039497307002,1630.03571428571
"115",2022-04-08,1059.92857142857,230.7,5523.64021882006,8299.3820026645,3193.21751373201,393,896,0.253129601637199,0.438616071428571,1633.72142857143
"116",2022-04-09,1069.92857142857,244.514285714286,5282.8608600398,7877.11949370421,3107.31954072116,243,1397,0.262735682825412,0.17394416607015,1597.66428571429
"117",2022-04-10,1031.85714285714,246.578571428571,5440.07470316361,8107.06713332524,3202.42245602902,78.5,724,0.267661853177518,0.108425414364641,1553.9119047619
"118",2022-04-11,993.785714285714,248.642857142857,5618.92179650049,8381.47393948174,3306.30541835517,78.5,724,0.272588023529624,0.108425414364641,1512.21428571429
"119",2022-04-12,967.5,238.285714285714,5774.34306111739,8636.27883887549,3388.2161177192,205,474,0.273788915805112,0.432489451476793,1470.21428571429
"120",2022-04-13,953.642857142857,215.142857142857,5779.03945147231,8669.96193662584,3387.16763391946,246,732,0.253825688507324,0.336065573770492,1430.35714285714
"121",2022-04-14,911.428571428571,209.857142857143,5598.74642160179,8377.83603396256,3306.32312777967,225,943,0.256946042639595,0.238600212089077,1402.21428571429
"122",2022-04-15,913.214285714286,194.642857142857,5357.48969305629,8005.16129019512,3178.71749627317,176,1005,0.24110215711097,0.175124378109453,1367.71428571429
"123",2022-04-16,904.571428571429,200.761904761905,5030.76589363411,7505.07100443373,3005.64541600952,137,1027,0.247436642837243,0.133398247322298,1331.21428571429
"124",2022-04-17,862.142857142857,204.880952380952,4915.36130999911,7365.27457420385,2922.11814157086,109,554,0.258296318221,0.196750902527076,1281.02380952381
"125",2022-04-18,804,206.642857142857,4836.83536957308,7266.4502896204,2862.64158507565,76,334,0.271355565579941,0.227544910179641,1224.21428571429
"126",2022-04-19,782.928571428571,198.428571428571,4760.30936234301,7169.52279145089,2805.25527000312,189,283,0.281490777428139,0.667844522968198,1163.14285714286
"127",2022-04-20,767,187,4362.57052725112,6494.06979387192,2628.53572673993,179,531,0.273454898118151,0.337099811676083,1095.64285714286
"128",2022-04-21,770.071428571429,175.357142857143,NA,NA,NA,120,1157,0.262717541754143,0.10371650821089,NA
"129",2022-04-22,747.285714285714,158.142857142857,NA,NA,NA,152,577,0.250204361113603,0.263431542461005,NA
"130",2022-04-23,693.5,150.571428571429,NA,NA,NA,137,644,0.252974986341068,0.212732919254658,NA
"131",2022-04-24,674.5,148.071428571429,NA,NA,NA,43.5,458,0.252014468596369,0.0949781659388646,NA
"132",2022-04-25,655.5,145.571428571429,NA,NA,NA,43.5,458,0.251053950851671,0.0949781659388646,NA
"133",2022-04-26,656.214285714286,130.928571428571,NA,NA,NA,0,484,0.220161847174757,0,NA
